,AI研究人员数量,顶尖AI学者数量,AI毕业生数量,AI市场规模,大模型数量,AI政策数量,AI补贴金额,企业研发支出,政府AI投资,国际AI投资,5G覆盖率,GPU集群规模,互联网带宽,互联网普及率,电能生产,AI算力平台,数据中心数量,TOP500上榜数,AI_Book数量,AI_Dataset数量,GitHub项目数
5G覆盖率,0.02811465909974796,0.20881656393413925,-0.5050246039414161,0.23057188476932958,0.15146706951526331,0.23352580045504,0.08958937806443688,0.28247430821649855,0.18817410648534924,,0.9999999999999998,0.19115324765429295,0.407112394691945,0.8162577334058715,0.0641428723250072,0.23398532971714403,0.24018129180026979,0.25150373775008816,0.12308234928117369,0.2532391569477072,
GPU集群规模,0.7126442344618323,0.9187035707893281,-0.04713637258129082,0.8500781339941922,0.1361328655623073,0.8675517279926651,0.11854870843365636,0.7416359866996695,0.3925429138871833,,0.19115324765429295,0.9999999999999998,0.5917362545564303,0.18225411008552314,0.2747194275502801,0.34109733660880687,0.806426980619134,-0.28983999964356744,0.5128097378569788,0.49205640002529516,
互联网带宽,0.8268635210950556,0.8197164668333712,0.23145119498684025,0.886289115384576,0.5881827478765012,0.8720113652565704,-0.12586594422085298,0.9126903673769254,0.6494208744347332,,0.40711239469194493,0.5917362545564303,1.0,0.10385142142771084,0.656778576420445,0.7172981592923175,0.9144650396515425,0.42355830706681213,0.8676763810967804,0.8120183989760184,
互联网普及率,-0.2737949079648545,0.0633862748566876,-0.8302840801594241,0.005185084951608225,-0.26814098481991805,0.02725161226513169,0.09023262273031435,-0.04334639585049616,-0.16489193986942613,,0.8162577334058715,0.18225411008552314,0.10385142142771082,0.9999999999999998,-0.37381309625150017,-0.16389072781755457,-0.0006162819560201418,-0.1770191194752426,-0.19098811405209443,0.12163470690035032,
电能生产,0.8213463391048292,0.489032991075002,0.7977022569106973,0.6645810389564341,0.9717403130026541,0.6229869048781628,0.03447598029143569,0.7962776828630238,0.949225686018677,,0.0641428723250072,0.2747194275502801,0.656778576420445,-0.37381309625150017,1.0,0.9688275176760036,0.6771099519310404,0.7601028876931326,0.8067742520460961,0.2651516978289637,
AI算力平台,0.8005661085180261,0.5264483615208005,0.65400419095906,0.7011993565888348,0.9729726644348102,0.6594215356172066,0.1337256703562935,0.8255131102486153,0.9869248074094273,,0.23398532971714403,0.3410973366088068,0.7172981592923175,-0.16389072781755457,0.9688275176760035,1.0,0.7165652081076971,0.772828827006494,0.8066338896141718,0.34854369547261815,
数据中心数量,0.948637204591186,0.9614347983518763,0.29954987397162314,0.9939438618909113,0.5644000868933408,0.9902373840950645,-0.054426512429277256,0.972176976510943,0.6976910223506904,,0.24018129180026979,0.806426980619134,0.9144650396515425,-0.0006162819560201418,0.6771099519310404,0.7165652081076971,1.0,0.2150407108827476,0.8973093649478816,0.7203399408606378,
TOP500上榜数,0.3184731083540098,-0.047769598526914904,0.5862097544717917,0.1686628086661839,0.8570276699009526,0.11319681277065839,0.07674823592015503,0.3741455227149387,0.7084760161131655,,0.25150373775008816,-0.2898399996435675,0.42355830706681213,-0.17701911947524263,0.7601028876931326,0.7728288270064939,0.21504071088274757,1.0,0.47311367614943745,0.13987219159814504,
AI_Book数量,0.9136957330501909,0.7811901977258706,0.5192672277113383,0.8662932226986012,0.7193256879646076,0.84890576362847,-0.18323273244375626,0.9035107448495479,0.7544546512718731,,0.12308234928117369,0.5128097378569788,0.8676763810967802,-0.19098811405209443,0.8067742520460962,0.8066338896141717,0.8973093649478816,0.4731136761494374,1.0,0.6683044061810204,
AI_Dataset数量,0.5562658823952786,0.678277188303425,-0.026663516832832513,0.6635292934500802,0.19950886828203745,0.6620803329832886,-0.029754462277066004,0.6166038778804196,0.27924286822962485,,0.25323915694770716,0.4920564000252951,0.8120183989760185,0.12163470690035035,0.2651516978289637,0.34854369547261815,0.7203399408606378,0.13987219159814504,0.6683044061810204,0.9999999999999999,
GitHub项目数,,,,,,,,,,,,,,,,,,,,,
