year,country,value,indicator
2031,日本,0.0,AI_Book数量
2032,日本,0.0,AI_Book数量
2033,日本,0.0,AI_Book数量
2034,日本,0.0,AI_Book数量
2035,日本,0.0,AI_Book数量
2016,法国,16.2,AI_Book数量
2017,法国,9.3,AI_Book数量
2018,法国,15.1,AI_Book数量
2019,法国,11.4,AI_Book数量
2020,法国,6.5,AI_Book数量
2021,法国,2.3,AI_Book数量
2022,法国,11.9,AI_Book数量
2023,法国,7.4,AI_Book数量
2024,法国,8.0,AI_Book数量
2025,法国,1.0,AI_Book数量
2026,法国,2.6733333333336304,AI_Book数量
2027,法国,1.5393939393939036,AI_Book数量
2028,法国,0.40545454545463144,AI_Book数量
2029,法国,0.0,AI_Book数量
2030,法国,0.0,AI_Book数量
2031,法国,0.0,AI_Book数量
2032,法国,0.0,AI_Book数量
2033,法国,0.0,AI_Book数量
2034,法国,0.0,AI_Book数量
2035,法国,0.0,AI_Book数量
2016,美国,24.1,AI_Book数量
2017,美国,34.5,AI_Book数量
2018,美国,56.0,AI_Book数量
2019,美国,35.1,AI_Book数量
2020,美国,47.0,AI_Book数量
2021,美国,37.6,AI_Book数量
2022,美国,34.4,AI_Book数量
2023,美国,31.0,AI_Book数量
2024,美国,15.8,AI_Book数量
2025,美国,2.0,AI_Book数量
2026,美国,16.206666666664205,AI_Book数量
2027,美国,13.380606060602076,AI_Book数量
2028,美国,10.554545454540857,AI_Book数量
2029,美国,7.7284848484796385,AI_Book数量
2030,美国,4.90242424241751,AI_Book数量
2031,美国,2.076363636356291,AI_Book数量
2032,美国,0.0,AI_Book数量
2033,美国,0.0,AI_Book数量
2034,美国,0.0,AI_Book数量
2035,美国,0.0,AI_Book数量
2016,英国,16.2,AI_Book数量
2017,英国,12.0,AI_Book数量
2018,英国,21.1,AI_Book数量
2019,英国,15.3,AI_Book数量
2020,英国,9.2,AI_Book数量
2021,英国,10.1,AI_Book数量
2022,英国,17.6,AI_Book数量
2023,英国,12.7,AI_Book数量
2024,英国,1.0,AI_Book数量
2025,英国,0.5,AI_Book数量
2026,英国,3.153333333332739,AI_Book数量
2027,英国,1.6230303030297364,AI_Book数量
2028,英国,0.0927272727262789,AI_Book数量
2029,英国,0.0,AI_Book数量
2030,英国,0.0,AI_Book数量
2031,英国,0.0,AI_Book数量
2032,英国,0.0,AI_Book数量
2033,英国,0.0,AI_Book数量
2034,英国,0.0,AI_Book数量
2035,英国,0.0,AI_Book数量
2016,阿联酋,0.0,AI_Book数量
2017,阿联酋,0.0,AI_Book数量
2018,阿联酋,0.0,AI_Book数量
2019,阿联酋,0.0,AI_Book数量
2020,阿联酋,1.7,AI_Book数量
2021,阿联酋,0.3,AI_Book数量
2022,阿联酋,0.0,AI_Book数量
2023,阿联酋,2.0,AI_Book数量
2024,阿联酋,0.5,AI_Book数量
2025,阿联酋,0.3,AI_Book数量
2026,阿联酋,0.9733333333333007,AI_Book数量
2027,阿联酋,1.0630303030303025,AI_Book数量
2028,阿联酋,1.152727272727276,AI_Book数量
2029,阿联酋,1.2424242424242777,AI_Book数量
2030,阿联酋,1.3321212121212511,AI_Book数量
2031,阿联酋,1.421818181818253,AI_Book数量
2032,阿联酋,1.5115151515152263,AI_Book数量
2033,阿联酋,1.6012121212122281,AI_Book数量
2034,阿联酋,1.6909090909092015,AI_Book数量
2035,阿联酋,1.7806060606062033,AI_Book数量
2016,韩国,4.7,AI_Book数量
2017,韩国,2.2,AI_Book数量
2018,韩国,3.0,AI_Book数量
2019,韩国,2.7,AI_Book数量
2020,韩国,2.5,AI_Book数量
2021,韩国,2.3,AI_Book数量
2022,韩国,2.2,AI_Book数量
2023,韩国,2.0,AI_Book数量
2024,韩国,1.8,AI_Book数量
2025,韩国,1.5,AI_Book数量
2026,韩国,1.213333333333594,AI_Book数量
2027,韩国,0.9812121212123657,AI_Book数量
2028,韩国,0.7490909090911941,AI_Book数量
2029,韩国,0.5169696969699658,AI_Book数量
2030,韩国,0.28484848484873737,AI_Book数量
2031,韩国,0.05272727272756583,AI_Book数量
2032,韩国,0.0,AI_Book数量
2033,韩国,0.0,AI_Book数量
2034,韩国,0.0,AI_Book数量
2035,韩国,0.0,AI_Book数量
2016,中国,2.0,AI_Dataset数量
2017,中国,15.0,AI_Dataset数量
2018,中国,3.4,AI_Dataset数量
2019,中国,36.3,AI_Dataset数量
2020,中国,6.9,AI_Dataset数量
2021,中国,26.2,AI_Dataset数量
2022,中国,37.6,AI_Dataset数量
2023,中国,79.9,AI_Dataset数量
2024,中国,7.0,AI_Dataset数量
2025,中国,5.0,AI_Dataset数量
2026,中国,34.48666666666486,AI_Dataset数量
2027,中国,36.76969696969536,AI_Dataset数量
2028,中国,39.05272727272495,AI_Dataset数量
2029,中国,41.33575757575545,AI_Dataset数量
2030,中国,43.61878787878595,AI_Dataset数量
2031,中国,45.90181818181645,AI_Dataset数量
2032,中国,48.18484848484695,AI_Dataset数量
2033,中国,50.46787878787745,AI_Dataset数量
2034,中国,52.75090909090795,AI_Dataset数量
2035,中国,55.033939393938454,AI_Dataset数量
2016,加拿大,0.0,AI_Dataset数量
2017,加拿大,2.0,AI_Dataset数量
2018,加拿大,12.3,AI_Dataset数量
2019,加拿大,35.0,AI_Dataset数量
2020,加拿大,12.0,AI_Dataset数量
2021,加拿大,11.8,AI_Dataset数量
2022,加拿大,25.4,AI_Dataset数量
2023,加拿大,31.3,AI_Dataset数量
2024,加拿大,0.0,AI_Dataset数量
2025,加拿大,0.0,AI_Dataset数量
2026,加拿大,14.713333333331434,AI_Dataset数量
2027,加拿大,15.028484848482663,AI_Dataset数量
2028,加拿大,15.343636363633891,AI_Dataset数量
2029,加拿大,15.65878787878512,AI_Dataset数量
2030,加拿大,15.973939393936348,AI_Dataset数量
2031,加拿大,16.289090909087577,AI_Dataset数量
2032,加拿大,16.604242424238805,AI_Dataset数量
2033,加拿大,16.919393939390034,AI_Dataset数量
2034,加拿大,17.234545454541262,AI_Dataset数量
2035,加拿大,17.54969696969249,AI_Dataset数量
2016,印度,0.0,AI_Dataset数量
2017,印度,12.0,AI_Dataset数量
2018,印度,7.6,AI_Dataset数量
2019,印度,3.6,AI_Dataset数量
2020,印度,13.1,AI_Dataset数量
2021,印度,5.1,AI_Dataset数量
2022,印度,8.0,AI_Dataset数量
2023,印度,22.0,AI_Dataset数量
2024,印度,1.0,AI_Dataset数量
2025,印度,1.0,AI_Dataset数量
2026,印度,7.646666666665851,AI_Dataset数量
2027,印度,7.702424242423291,AI_Dataset数量
2028,印度,7.758181818180731,AI_Dataset数量
2029,印度,7.813939393938156,AI_Dataset数量
2030,印度,7.869696969695596,AI_Dataset数量
2031,印度,7.925454545453036,AI_Dataset数量
2032,印度,7.981212121210476,AI_Dataset数量
2033,印度,8.036969696967901,AI_Dataset数量
2034,印度,8.092727272725341,AI_Dataset数量
2035,印度,8.14848484848278,AI_Dataset数量
2016,德国,6.0,AI_Dataset数量
2017,德国,54.8,AI_Dataset数量
2018,德国,78.1,AI_Dataset数量
2019,德国,70.3,AI_Dataset数量
2020,德国,171.3,AI_Dataset数量
2021,德国,147.2,AI_Dataset数量
2022,德国,170.2,AI_Dataset数量
2023,德国,160.7,AI_Dataset数量
2024,德国,1.0,AI_Dataset数量
2025,德国,1.0,AI_Dataset数量
2026,德国,94.9599999999914,AI_Dataset数量
2027,德国,96.57818181817174,AI_Dataset数量
2028,德国,98.19636363635254,AI_Dataset数量
2029,德国,99.81454545453289,AI_Dataset数量
2030,德国,101.43272727271324,AI_Dataset数量
2031,德国,103.05090909089404,AI_Dataset数量
2032,德国,104.66909090907438,AI_Dataset数量
2033,德国,106.28727272725473,AI_Dataset数量
2034,德国,107.90545454543553,AI_Dataset数量
2035,德国,109.52363636361588,AI_Dataset数量
2016,日本,2.0,AI_Dataset数量
2017,日本,18.0,AI_Dataset数量
2018,日本,4.0,AI_Dataset数量
2019,日本,6.0,AI_Dataset数量
2020,日本,14.8,AI_Dataset数量
2021,日本,28.0,AI_Dataset数量
2022,日本,13.3,AI_Dataset数量
2023,日本,35.9,AI_Dataset数量
2024,日本,0.0,AI_Dataset数量
2025,日本,1.0,AI_Dataset数量
2026,日本,14.286666666665724,AI_Dataset数量
2027,日本,14.647878787877744,AI_Dataset数量
2028,日本,15.009090909089764,AI_Dataset数量
2029,日本,15.37030303030167,AI_Dataset数量
2030,日本,15.73151515151369,AI_Dataset数量
2031,日本,16.09272727272571,AI_Dataset数量
2032,日本,16.453939393937617,AI_Dataset数量
2033,日本,16.815151515149637,AI_Dataset数量
2034,日本,17.176363636361657,AI_Dataset数量
2035,日本,17.537575757573677,AI_Dataset数量
2016,法国,2.0,AI_Dataset数量
2017,法国,42.0,AI_Dataset数量
2018,法国,58.8,AI_Dataset数量
2019,法国,85.0,AI_Dataset数量
2020,法国,74.4,AI_Dataset数量
2021,法国,59.5,AI_Dataset数量
2022,法国,96.4,AI_Dataset数量
2023,法国,100.9,AI_Dataset数量
2024,法国,10.3,AI_Dataset数量
2025,法国,5.0,AI_Dataset数量
2026,法国,54.59333333332603,AI_Dataset数量
2027,法国,54.80484848483991,AI_Dataset数量
2028,法国,55.01636363635379,AI_Dataset数量
2029,法国,55.22787878786761,AI_Dataset数量
2030,法国,55.43939393938149,AI_Dataset数量
2031,法国,55.65090909089531,AI_Dataset数量
2032,法国,55.86242424240919,AI_Dataset数量
2033,法国,56.07393939392307,AI_Dataset数量
2034,法国,56.28545454543689,AI_Dataset数量
2035,法国,56.49696969695077,AI_Dataset数量
2016,美国,45.0,AI_Dataset数量
2017,美国,46.0,AI_Dataset数量
2018,美国,57.0,AI_Dataset数量
2019,美国,147.7,AI_Dataset数量
2020,美国,125.9,AI_Dataset数量
2021,美国,108.5,AI_Dataset数量
2022,美国,122.4,AI_Dataset数量
2023,美国,188.0,AI_Dataset数量
2024,美国,27.3,AI_Dataset数量
2025,美国,10.0,AI_Dataset数量
2026,美国,91.6399999999951,AI_Dataset数量
2027,美国,92.34181818181241,AI_Dataset数量
2028,美国,93.04363636362973,AI_Dataset数量
2029,美国,93.74545454544705,AI_Dataset数量
2030,美国,94.44727272726436,AI_Dataset数量
2031,美国,95.1490909090819,AI_Dataset数量
2032,美国,95.85090909089922,AI_Dataset数量
2033,美国,96.55272727271654,AI_Dataset数量
2034,美国,97.25454545453385,AI_Dataset数量
2035,美国,97.95636363635117,AI_Dataset数量
2016,英国,1.0,AI_Dataset数量
2017,英国,21.2,AI_Dataset数量
2018,英国,39.1,AI_Dataset数量
2019,英国,39.9,AI_Dataset数量
2020,英国,76.8,AI_Dataset数量
2021,英国,33.5,AI_Dataset数量
2022,英国,34.0,AI_Dataset数量
2023,英国,79.5,AI_Dataset数量
2024,英国,21.7,AI_Dataset数量
2025,英国,8.0,AI_Dataset数量
2026,英国,42.38666666666313,AI_Dataset数量
2027,英国,43.6442424242382,AI_Dataset数量
2028,英国,44.901818181813724,AI_Dataset数量
2029,英国,46.15939393938879,AI_Dataset数量
2030,英国,47.416969696964316,AI_Dataset数量
2031,英国,48.674545454539384,AI_Dataset数量
2032,英国,49.93212121211491,AI_Dataset数量
2033,英国,51.189696969689976,AI_Dataset数量
2034,英国,52.4472727272655,AI_Dataset数量
2035,英国,53.70484848484057,AI_Dataset数量
2016,阿联酋,0.0,AI_Dataset数量
2017,阿联酋,0.0,AI_Dataset数量
2018,阿联酋,0.0,AI_Dataset数量
2019,阿联酋,0.0,AI_Dataset数量
2020,阿联酋,0.0,AI_Dataset数量
2021,阿联酋,0.0,AI_Dataset数量
2022,阿联酋,0.0,AI_Dataset数量
2023,阿联酋,1.3,AI_Dataset数量
2024,阿联酋,0.5,AI_Dataset数量
2025,阿联酋,0.3,AI_Dataset数量
2026,阿联酋,0.6333333333333542,AI_Dataset数量
2027,阿联酋,0.7103030303030664,AI_Dataset数量
2028,阿联酋,0.7872727272727786,AI_Dataset数量
2029,阿联酋,0.8642424242424909,AI_Dataset数量
2030,阿联酋,0.9412121212122031,AI_Dataset数量
2031,阿联酋,1.0,AI_Dataset数量
2032,阿联酋,1.0,AI_Dataset数量
2033,阿联酋,1.0,AI_Dataset数量
2034,阿联酋,1.0,AI_Dataset数量
2035,阿联酋,1.0,AI_Dataset数量
2016,韩国,0.0,AI_Dataset数量
2017,韩国,0.0,AI_Dataset数量
2018,韩国,2.7,AI_Dataset数量
2019,韩国,10.3,AI_Dataset数量
2020,韩国,11.3,AI_Dataset数量
2021,韩国,4.0,AI_Dataset数量
2022,韩国,0.0,AI_Dataset数量
2023,韩国,8.5,AI_Dataset数量
2024,韩国,0.0,AI_Dataset数量
2025,韩国,0.0,AI_Dataset数量
2026,韩国,3.3733333333327806,AI_Dataset数量
2027,韩国,3.3175757575750993,AI_Dataset数量
2028,韩国,3.261818181817418,AI_Dataset数量
2029,韩国,3.2060606060597365,AI_Dataset数量
2030,韩国,3.150303030302055,AI_Dataset数量
2031,韩国,3.094545454544374,AI_Dataset数量
2032,韩国,3.0387878787866924,AI_Dataset数量
2033,韩国,2.983030303028997,AI_Dataset数量
2034,韩国,2.9272727272713155,AI_Dataset数量
2035,韩国,2.871515151513634,AI_Dataset数量
2016,中国,900.0,AI企业数量
2017,中国,1200.0,AI企业数量
2018,中国,1600.0,AI企业数量
2019,中国,2000.0,AI企业数量
2020,中国,2600.0,AI企业数量
2021,中国,3400.0,AI企业数量
2022,中国,4227.0,AI企业数量
2023,中国,4484.0,AI企业数量
2024,中国,4800.0,AI企业数量
2025,中国,5200.0,AI企业数量
2026,中国,5901.133333333186,AI企业数量
2027,中国,6421.139393939287,AI企业数量
2028,中国,6941.145454545622,AI企业数量
2029,中国,7461.151515151723,AI企业数量
2030,中国,7981.157575757825,AI企业数量
2031,中国,8501.163636363926,AI企业数量
2032,中国,9021.169696970028,AI企业数量
2033,中国,9541.17575757613,AI企业数量
2034,中国,10061.181818182464,AI企业数量
2035,中国,10581.187878788565,AI企业数量
2016,加拿大,25.0,AI企业数量
2017,加拿大,80.0,AI企业数量
2018,加拿大,132.0,AI企业数量
2019,加拿大,214.0,AI企业数量
2020,加拿大,247.0,AI企业数量
2021,加拿大,300.0,AI企业数量
2022,加拿大,1915.0,AI企业数量
2023,加拿大,1500.0,AI企业数量
2024,加拿大,2170.0,AI企业数量
2025,加拿大,2400.0,AI企业数量
2026,加拿大,2498.333333333372,AI企业数量
2027,加拿大,2789.248484848533,AI企业数量
2028,加拿大,3080.1636363636935,AI企业数量
2029,加拿大,3371.0787878789706,AI企业数量
2030,加拿大,3661.9939393941313,AI企业数量
2031,加拿大,3952.9090909094084,AI企业数量
2032,加拿大,4243.824242424569,AI企业数量
2033,加拿大,4534.73939393973,AI企业数量
2034,加拿大,4825.654545455007,AI企业数量
2035,加拿大,5116.569696970168,AI企业数量
2016,印度,1600.0,AI企业数量
2017,印度,1800.0,AI企业数量
2018,印度,2000.0,AI企业数量
2019,印度,2300.0,AI企业数量
2020,印度,2600.0,AI企业数量
2021,印度,3000.0,AI企业数量
2022,印度,3000.0,AI企业数量
2023,印度,4000.0,AI企业数量
2024,印度,4500.0,AI企业数量
2025,印度,5000.0,AI企业数量
2026,印度,5706.659572860131,AI企业数量
2027,印度,6514.630660830298,AI企业数量
2028,印度,7436.997442228596,AI企业数量
2029,印度,8489.956504865855,AI企业数量
2030,印度,9691.997612535757,AI企业数量
2031,印度,11064.228381801717,AI企业数量
2032,印度,12630.744927787688,AI企业数量
2033,印度,14419.054987443727,AI企业数量
2034,印度,16460.560950251267,AI企业数量
2035,印度,18791.111278296827,AI企业数量
2016,德国,300.0,AI企业数量
2017,德国,350.0,AI企业数量
2018,德国,400.0,AI企业数量
2019,德国,450.0,AI企业数量
2020,德国,500.0,AI企业数量
2021,德国,550.0,AI企业数量
2022,德国,502.0,AI企业数量
2023,德国,687.0,AI企业数量
2024,德国,750.0,AI企业数量
2025,德国,820.0,AI企业数量
2026,德国,902.7846118942798,AI企业数量
2027,德国,1002.2288956504563,AI企业数量
2028,德国,1112.6272491165983,AI企业数量
2029,德国,1235.1862941183153,AI企业数量
2030,德国,1371.2455652951994,AI企业数量
2031,德国,1522.2921508240415,AI企业数量
2032,德国,1689.9769458591545,AI企业数量
2033,德国,1876.1326963352112,AI企业数量
2034,德国,2082.7940303461273,AI企业数量
2035,德国,2312.219696037093,AI企业数量
2016,日本,700.0,AI企业数量
2017,日本,800.0,AI企业数量
2018,日本,900.0,AI企业数量
2019,日本,1000.0,AI企业数量
2020,日本,1100.0,AI企业数量
2021,日本,1200.0,AI企业数量
2022,日本,1400.0,AI企业数量
