year,country,value,indicator
2020,韩国,11.3,AI_Dataset数量
2021,韩国,4.0,AI_Dataset数量
2022,韩国,0.0,AI_Dataset数量
2023,韩国,8.5,AI_Dataset数量
2024,韩国,0.0,AI_Dataset数量
2025,韩国,0.0,AI_Dataset数量
2016,中国,900.0,AI企业数量
2017,中国,1200.0,AI企业数量
2018,中国,1600.0,AI企业数量
2019,中国,2000.0,AI企业数量
2020,中国,2600.0,AI企业数量
2021,中国,3400.0,AI企业数量
2022,中国,4227.0,AI企业数量
2023,中国,4484.0,AI企业数量
2024,中国,4800.0,AI企业数量
2025,中国,5200.0,AI企业数量
2016,加拿大,25.0,AI企业数量
2017,加拿大,80.0,AI企业数量
2018,加拿大,132.0,AI企业数量
2019,加拿大,214.0,AI企业数量
2020,加拿大,247.0,AI企业数量
2021,加拿大,300.0,AI企业数量
2022,加拿大,1915.0,AI企业数量
2023,加拿大,1500.0,AI企业数量
2024,加拿大,2170.0,AI企业数量
2025,加拿大,2400.0,AI企业数量
2016,印度,1600.0,AI企业数量
2017,印度,1800.0,AI企业数量
2018,印度,2000.0,AI企业数量
2019,印度,2300.0,AI企业数量
2020,印度,2600.0,AI企业数量
2021,印度,3000.0,AI企业数量
2022,印度,3000.0,AI企业数量
2023,印度,4000.0,AI企业数量
2024,印度,4500.0,AI企业数量
2025,印度,5000.0,AI企业数量
2016,德国,300.0,AI企业数量
2017,德国,350.0,AI企业数量
2018,德国,400.0,AI企业数量
2019,德国,450.0,AI企业数量
2020,德国,500.0,AI企业数量
2021,德国,550.0,AI企业数量
2022,德国,502.0,AI企业数量
2023,德国,687.0,AI企业数量
2024,德国,750.0,AI企业数量
2025,德国,820.0,AI企业数量
2016,日本,700.0,AI企业数量
2017,日本,800.0,AI企业数量
2018,日本,900.0,AI企业数量
2019,日本,1000.0,AI企业数量
2020,日本,1100.0,AI企业数量
2021,日本,1200.0,AI企业数量
2022,日本,1400.0,AI企业数量
2023,日本,2100.0,AI企业数量
2024,日本,2400.0,AI企业数量
2025,日本,2700.0,AI企业数量
2016,法国,350.0,AI企业数量
2017,法国,400.0,AI企业数量
2018,法国,450.0,AI企业数量
2019,法国,500.0,AI企业数量
2020,法国,550.0,AI企业数量
2021,法国,600.0,AI企业数量
2022,法国,650.0,AI企业数量
2023,法国,590.0,AI企业数量
2024,法国,640.0,AI企业数量
2025,法国,700.0,AI企业数量
2016,美国,3500.0,AI企业数量
2017,美国,4000.0,AI企业数量
2018,美国,4500.0,AI企业数量
2019,美国,4800.0,AI企业数量
2020,美国,5000.0,AI企业数量
2021,美国,5200.0,AI企业数量
2022,美国,5300.0,AI企业数量
2023,美国,5509.0,AI企业数量
2024,美国,5800.0,AI企业数量
2025,美国,6100.0,AI企业数量
2016,英国,450.0,AI企业数量
2017,英国,520.0,AI企业数量
2018,英国,600.0,AI企业数量
2019,英国,650.0,AI企业数量
2020,英国,700.0,AI企业数量
2021,英国,750.0,AI企业数量
2022,英国,3170.0,AI企业数量
2023,英国,3500.0,AI企业数量
2024,英国,3800.0,AI企业数量
2025,英国,4100.0,AI企业数量
2016,阿联酋,50.0,AI企业数量
2017,阿联酋,70.0,AI企业数量
2018,阿联酋,100.0,AI企业数量
2019,阿联酋,150.0,AI企业数量
2020,阿联酋,200.0,AI企业数量
2021,阿联酋,260.0,AI企业数量
2022,阿联酋,320.0,AI企业数量
2023,阿联酋,400.0,AI企业数量
2024,阿联酋,500.0,AI企业数量
2025,阿联酋,650.0,AI企业数量
2016,韩国,250.0,AI企业数量
2017,韩国,300.0,AI企业数量
2018,韩国,350.0,AI企业数量
2019,韩国,400.0,AI企业数量
2020,韩国,453.0,AI企业数量
2021,韩国,502.0,AI企业数量
2022,韩国,550.0,AI企业数量
2023,韩国,2354.0,AI企业数量
2024,韩国,2600.0,AI企业数量
2025,韩国,2850.0,AI企业数量
2016,中国,5.0,AI市场规模
2017,中国,7.5,AI市场规模
2018,中国,10.0,AI市场规模
2019,中国,15.0,AI市场规模
2020,中国,25.0,AI市场规模
2021,中国,40.0,AI市场规模
2022,中国,60.0,AI市场规模
2023,中国,90.0,AI市场规模
2024,中国,125.0,AI市场规模
2025,中国,115.0,AI市场规模
2016,加拿大,0.3,AI市场规模
2017,加拿大,0.5,AI市场规模
2018,加拿大,0.7,AI市场规模
2019,加拿大,1.0,AI市场规模
2020,加拿大,1.5,AI市场规模
2021,加拿大,2.4,AI市场规模
2022,加拿大,3.6,AI市场规模
2023,加拿大,5.4,AI市场规模
2024,加拿大,7.5,AI市场规模
2025,加拿大,8.0,AI市场规模
2016,印度,0.2,AI市场规模
2017,印度,0.3,AI市场规模
2018,印度,0.5,AI市场规模
2019,印度,0.8,AI市场规模
2020,印度,1.2,AI市场规模
2021,印度,2.0,AI市场规模
2022,印度,3.0,AI市场规模
2023,印度,5.0,AI市场规模
2024,印度,7.0,AI市场规模
2025,印度,11.0,AI市场规模
2016,德国,0.8,AI市场规模
2017,德国,1.2,AI市场规模
2018,德国,1.6,AI市场规模
2019,德国,2.4,AI市场规模
2020,德国,4.0,AI市场规模
2021,德国,6.4,AI市场规模
2022,德国,9.6,AI市场规模
2023,德国,14.4,AI市场规模
2024,德国,20.0,AI市场规模
2025,德国,22.0,AI市场规模
2016,日本,0.6,AI市场规模
2017,日本,0.9,AI市场规模
2018,日本,1.2,AI市场规模
2019,日本,1.8,AI市场规模
2020,日本,3.0,AI市场规模
2021,日本,4.8,AI市场规模
2022,日本,7.2,AI市场规模
2023,日本,10.8,AI市场规模
2024,日本,15.0,AI市场规模
2025,日本,16.0,AI市场规模
2016,法国,0.4,AI市场规模
2017,法国,0.6,AI市场规模
2018,法国,0.8,AI市场规模
2019,法国,1.2,AI市场规模
2020,法国,2.0,AI市场规模
2021,法国,3.2,AI市场规模
2022,法国,4.8,AI市场规模
2023,法国,7.2,AI市场规模
2024,法国,10.0,AI市场规模
2025,法国,11.0,AI市场规模
2016,美国,10.0,AI市场规模
2017,美国,15.0,AI市场规模
2018,美国,20.0,AI市场规模
2019,美国,30.0,AI市场规模
2020,美国,50.0,AI市场规模
2021,美国,80.0,AI市场规模
2022,美国,120.0,AI市场规模
2023,美国,180.0,AI市场规模
2024,美国,250.0,AI市场规模
2025,美国,371.7,AI市场规模
2016,英国,1.0,AI市场规模
2017,英国,1.5,AI市场规模
2018,英国,2.0,AI市场规模
2019,英国,3.0,AI市场规模
2020,英国,5.0,AI市场规模
2021,英国,8.0,AI市场规模
2022,英国,12.0,AI市场规模
2023,英国,18.0,AI市场规模
2024,英国,25.0,AI市场规模
2025,英国,28.0,AI市场规模
2016,阿联酋,0.1,AI市场规模
2017,阿联酋,0.2,AI市场规模
2018,阿联酋,0.3,AI市场规模
2019,阿联酋,0.5,AI市场规模
2020,阿联酋,1.0,AI市场规模
2021,阿联酋,2.0,AI市场规模
2022,阿联酋,3.0,AI市场规模
2023,阿联酋,5.0,AI市场规模
2024,阿联酋,7.0,AI市场规模
2025,阿联酋,8.0,AI市场规模
2016,韩国,0.5,AI市场规模
2017,韩国,0.7,AI市场规模
2018,韩国,1.0,AI市场规模
2019,韩国,1.5,AI市场规模
2020,韩国,2.5,AI市场规模
2021,韩国,4.0,AI市场规模
2022,韩国,6.0,AI市场规模
2023,韩国,9.0,AI市场规模
2024,韩国,12.5,AI市场规模
2025,韩国,13.0,AI市场规模
2016,中国,2.9,AI应用渗透率
2017,中国,3.8,AI应用渗透率
2018,中国,5.5,AI应用渗透率
2019,中国,59.0,AI应用渗透率
2020,中国,15.1,AI应用渗透率
2021,中国,58.0,AI应用渗透率
2022,中国,58.0,AI应用渗透率
2023,中国,60.0,AI应用渗透率
2024,中国,63.0,AI应用渗透率
2025,中国,66.0,AI应用渗透率
2016,加拿大,1.0,AI应用渗透率
2017,加拿大,1.8,AI应用渗透率
2018,加拿大,3.4,AI应用渗透率
2019,加拿大,5.0,AI应用渗透率
2020,加拿大,6.0,AI应用渗透率
2021,加拿大,28.0,AI应用渗透率
2022,加拿大,31.0,AI应用渗透率
2023,加拿大,29.0,AI应用渗透率
2024,加拿大,35.0,AI应用渗透率
2025,加拿大,40.0,AI应用渗透率
2016,印度,0.8,AI应用渗透率
2017,印度,1.2,AI应用渗透率
2018,印度,2.1,AI应用渗透率
2019,印度,4.2,AI应用渗透率
2020,印度,5.5,AI应用渗透率
2021,印度,43.0,AI应用渗透率
2022,印度,57.0,AI应用渗透率
2023,印度,59.0,AI应用渗透率
2024,印度,62.0,AI应用渗透率
2025,印度,65.0,AI应用渗透率
2016,德国,1.0,AI应用渗透率
2017,德国,1.8,AI应用渗透率
2018,德国,3.0,AI应用渗透率
2019,德国,5.5,AI应用渗透率
2020,德国,6.0,AI应用渗透率
2021,德国,11.0,AI应用渗透率
2022,德国,28.0,AI应用渗透率
2023,德国,35.0,AI应用渗透率
2024,德国,40.0,AI应用渗透率
2025,德国,45.0,AI应用渗透率
2016,日本,1.1,AI应用渗透率
2017,日本,1.9,AI应用渗透率
2018,日本,3.2,AI应用渗透率
2019,日本,6.8,AI应用渗透率
2020,日本,7.0,AI应用渗透率
2021,日本,24.3,AI应用渗透率
2022,日本,26.0,AI应用渗透率
2023,日本,32.0,AI应用渗透率
2024,日本,38.0,AI应用渗透率
2025,日本,42.0,AI应用渗透率
2016,法国,0.9,AI应用渗透率
2017,法国,1.5,AI应用渗透率
2018,法国,2.8,AI应用渗透率
2019,法国,5.5,AI应用渗透率
2020,法国,6.0,AI应用渗透率
2021,法国,7.0,AI应用渗透率
2022,法国,31.0,AI应用渗透率
2023,法国,28.0,AI应用渗透率
2024,法国,34.0,AI应用渗透率
2025,法国,40.0,AI应用渗透率
2016,美国,1.5,AI应用渗透率
2017,美国,2.1,AI应用渗透率
2018,美国,2.9,AI应用渗透率
2019,美国,3.3,AI应用渗透率
2020,美国,3.6,AI应用渗透率
2021,美国,3.7,AI应用渗透率
2022,美国,3.8,AI应用渗透率
2023,美国,3.8,AI应用渗透率
2024,美国,5.4,AI应用渗透率
2025,美国,7.0,AI应用渗透率
2016,英国,1.2,AI应用渗透率
2017,英国,2.0,AI应用渗透率
2018,英国,3.5,AI应用渗透率
2019,英国,6.0,AI应用渗透率
2020,英国,7.0,AI应用渗透率
2021,英国,26.0,AI应用渗透率
2022,英国,26.0,AI应用渗透率
2023,英国,29.0,AI应用渗透率
2024,英国,33.0,AI应用渗透率
2025,英国,38.0,AI应用渗透率
2016,阿联酋,2.0,AI应用渗透率
2017,阿联酋,3.0,AI应用渗透率
2018,阿联酋,18.0,AI应用渗透率
2019,阿联酋,22.0,AI应用渗透率
2020,阿联酋,28.0,AI应用渗透率
2021,阿联酋,45.0,AI应用渗透率
2022,阿联酋,65.0,AI应用渗透率
2023,阿联酋,65.0,AI应用渗透率
2024,阿联酋,74.0,AI应用渗透率
2025,阿联酋,80.0,AI应用渗透率
2016,韩国,1.3,AI应用渗透率
2017,韩国,2.2,AI应用渗透率
2018,韩国,3.9,AI应用渗透率
2019,韩国,3.0,AI应用渗透率
2020,韩国,4.0,AI应用渗透率
2021,韩国,15.0,AI应用渗透率
2022,韩国,22.0,AI应用渗透率
2023,韩国,28.0,AI应用渗透率
2024,韩国,32.0,AI应用渗透率
2025,韩国,36.0,AI应用渗透率
2016,中国,2.0,AI政策数量
2017,中国,5.0,AI政策数量
2018,中国,10.0,AI政策数量
2019,中国,15.0,AI政策数量
2020,中国,20.0,AI政策数量
2021,中国,30.0,AI政策数量
2022,中国,40.0,AI政策数量
2023,中国,50.0,AI政策数量
2024,中国,60.0,AI政策数量
2025,中国,70.0,AI政策数量
2016,加拿大,1.0,AI政策数量
2017,加拿大,2.0,AI政策数量
2018,加拿大,3.0,AI政策数量
2019,加拿大,5.0,AI政策数量
2020,加拿大,7.0,AI政策数量
2021,加拿大,10.0,AI政策数量
2022,加拿大,12.0,AI政策数量
2023,加拿大,15.0,AI政策数量
2024,加拿大,18.0,AI政策数量
2025,加拿大,20.0,AI政策数量
2016,印度,0.0,AI政策数量
2017,印度,1.0,AI政策数量
2018,印度,2.0,AI政策数量
2019,印度,3.0,AI政策数量
2020,印度,5.0,AI政策数量
2021,印度,7.0,AI政策数量
2022,印度,10.0,AI政策数量
2023,印度,12.0,AI政策数量
2024,印度,15.0,AI政策数量
2025,印度,18.0,AI政策数量
2016,德国,1.0,AI政策数量
2017,德国,2.0,AI政策数量
2018,德国,3.0,AI政策数量
2019,德国,5.0,AI政策数量
2020,德国,7.0,AI政策数量
2021,德国,10.0,AI政策数量
2022,德国,13.0,AI政策数量
2023,德国,15.0,AI政策数量
2024,德国,18.0,AI政策数量
2025,德国,20.0,AI政策数量
2016,日本,1.0,AI政策数量
2017,日本,2.0,AI政策数量
2018,日本,3.0,AI政策数量
2019,日本,5.0,AI政策数量
2020,日本,7.0,AI政策数量
2021,日本,10.0,AI政策数量
2022,日本,13.0,AI政策数量
2023,日本,15.0,AI政策数量
2024,日本,18.0,AI政策数量
2025,日本,20.0,AI政策数量
2016,法国,1.0,AI政策数量
2017,法国,2.0,AI政策数量
2018,法国,3.0,AI政策数量
2019,法国,5.0,AI政策数量
2020,法国,7.0,AI政策数量
2021,法国,10.0,AI政策数量
2022,法国,13.0,AI政策数量
2023,法国,15.0,AI政策数量
2024,法国,18.0,AI政策数量
2025,法国,20.0,AI政策数量
2016,美国,1.0,AI政策数量
2017,美国,5.0,AI政策数量
2018,美国,10.0,AI政策数量
2019,美国,20.0,AI政策数量
2020,美国,30.0,AI政策数量
2021,美国,50.0,AI政策数量
2022,美国,70.0,AI政策数量
2023,美国,100.0,AI政策数量
2024,美国,131.0,AI政策数量
2025,美国,150.0,AI政策数量
2016,英国,1.0,AI政策数量
2017,英国,2.0,AI政策数量
2018,英国,3.0,AI政策数量
2019,英国,5.0,AI政策数量
2020,英国,7.0,AI政策数量
2021,英国,10.0,AI政策数量
2022,英国,15.0,AI政策数量
2023,英国,20.0,AI政策数量
2024,英国,25.0,AI政策数量
2025,英国,30.0,AI政策数量
2016,阿联酋,0.0,AI政策数量
2017,阿联酋,1.0,AI政策数量
2018,阿联酋,2.0,AI政策数量
2019,阿联酋,3.0,AI政策数量
2020,阿联酋,5.0,AI政策数量
2021,阿联酋,7.0,AI政策数量
2022,阿联酋,10.0,AI政策数量
2023,阿联酋,12.0,AI政策数量
2024,阿联酋,15.0,AI政策数量
2025,阿联酋,18.0,AI政策数量
2016,韩国,1.0,AI政策数量
2017,韩国,2.0,AI政策数量
2018,韩国,3.0,AI政策数量
2019,韩国,5.0,AI政策数量
2020,韩国,7.0,AI政策数量
2021,韩国,10.0,AI政策数量
2022,韩国,13.0,AI政策数量
2023,韩国,15.0,AI政策数量
2024,韩国,18.0,AI政策数量
2025,韩国,20.0,AI政策数量
2016,中国,35.0,AI毕业生数量
2017,中国,38.5,AI毕业生数量
2018,中国,42.0,AI毕业生数量
2019,中国,45.0,AI毕业生数量
2020,中国,48.0,AI毕业生数量
2021,中国,52.0,AI毕业生数量
2022,中国,55.0,AI毕业生数量
2023,中国,58.0,AI毕业生数量
2024,中国,61.5,AI毕业生数量
2025,中国,65.0,AI毕业生数量
2016,加拿大,1.2,AI毕业生数量
2017,加拿大,1.3,AI毕业生数量
2018,加拿大,1.4,AI毕业生数量
2019,加拿大,1.5,AI毕业生数量
2020,加拿大,1.6,AI毕业生数量
2021,加拿大,1.7,AI毕业生数量
2022,加拿大,1.8,AI毕业生数量
2023,加拿大,1.9,AI毕业生数量
2024,加拿大,2.0,AI毕业生数量
2025,加拿大,2.1,AI毕业生数量
2016,印度,28.0,AI毕业生数量
2017,印度,30.5,AI毕业生数量
2018,印度,33.0,AI毕业生数量
2019,印度,36.0,AI毕业生数量
2020,印度,38.5,AI毕业生数量
2021,印度,41.0,AI毕业生数量
2022,印度,44.0,AI毕业生数量
2023,印度,47.0,AI毕业生数量
2024,印度,50.0,AI毕业生数量
2025,印度,53.5,AI毕业生数量
2016,德国,2.0,AI毕业生数量
2017,德国,2.2,AI毕业生数量
2018,德国,2.4,AI毕业生数量
2019,德国,2.6,AI毕业生数量
2020,德国,2.8,AI毕业生数量
2021,德国,2.9,AI毕业生数量
2022,德国,3.1,AI毕业生数量
2023,德国,3.3,AI毕业生数量
2024,德国,3.5,AI毕业生数量
2025,德国,3.7,AI毕业生数量
2016,日本,1.8,AI毕业生数量
2017,日本,1.9,AI毕业生数量
2018,日本,1.9,AI毕业生数量
2019,日本,2.0,AI毕业生数量
2020,日本,2.0,AI毕业生数量
2021,日本,2.1,AI毕业生数量
2022,日本,2.1,AI毕业生数量
