,AI研究人员数量,顶尖AI学者数量,AI毕业生数量,AI企业数量,AI市场规模,AI应用渗透率,大模型数量,AI社会信任度,AI政策数量,AI补贴金额,企业研发支出,政府AI投资,5G覆盖率,GPU集群规模,互联网带宽,互联网普及率,电能生产,AI算力平台,数据中心数量,TOP500上榜数,AI_Book数量,AI_Dataset数量,GitHub项目数,国际AI投资
企业研发支出,0.9627204768475272,0.9025605487087762,0.4069751690016613,0.7975065626552553,0.9737109307561689,-0.06405496439955048,0.6964272571797667,0.13864921562198043,0.9594120642406887,-0.02535466346261612,1.0,0.8050679676995817,0.2824743082164986,0.7416359866996695,0.9126903673769253,-0.04334639585049615,0.7962776828630238,0.8255131102486152,0.9721769765109427,0.3741455227149388,0.9035107448495477,0.6166038778804196,0.13886010275307237,0.9759875061366251
政府AI投资,0.7910621291120973,0.5255228488299702,0.6491113092742378,0.6498944172741676,0.6933889280502291,0.25933659173230134,0.9548151433046398,0.3840680936113972,0.6533651494408875,0.2326533143731718,0.8050679676995816,1.0,0.18817410648534924,0.39254291388718343,0.6494208744347332,-0.16489193986942616,0.9492256860186767,0.9869248074094276,0.6976910223506904,0.7084760161131655,0.7544546512718733,0.27924286822962496,-0.052549038185258905,0.7409602888517896
5G覆盖率,0.028114659099747946,0.20881656393413928,-0.5050246039414161,0.5106884906276714,0.23057188476932958,-0.47408492116019196,0.15146706951526337,-0.269329778335592,0.23352580045504,0.08958937806443688,0.28247430821649866,0.18817410648534924,0.9999999999999998,0.19115324765429295,0.407112394691945,0.8162577334058716,0.06414287232500726,0.233985329717144,0.24018129180026984,0.2515037377500881,0.12308234928117373,0.25323915694770716,-0.8199179467460079,0.2603609683454737
GPU集群规模,0.7126442344618324,0.9187035707893281,-0.0471363725812908,0.6404463455183639,0.8500781339941924,-0.24355177328723004,0.13613286556230736,-0.245154943244913,0.8675517279926649,0.11854870843365636,0.7416359866996696,0.39254291388718343,0.19115324765429295,1.0,0.5917362545564304,0.18225411008552314,0.27471942755028017,0.34109733660880687,0.806426980619134,-0.2898399996435674,0.5128097378569789,0.49205640002529516,0.22138787937635337,0.7911348278308001
互联网带宽,0.8268635210950556,0.8197164668333712,0.23145119498684016,0.636316157672632,0.8862891153845759,-0.28011297531370666,0.5881827478765013,0.0036445623806716965,0.8720113652565704,-0.12586594422085307,0.9126903673769253,0.6494208744347332,0.40711239469194493,0.5917362545564304,1.0,0.10385142142771084,0.6567785764204448,0.7172981592923175,0.9144650396515425,0.4235583070668121,0.8676763810967804,0.8120183989760184,-0.009840201674995334,0.8942574653066888
互联网普及率,-0.2737949079648545,0.06338627485668756,-0.8302840801594242,0.15795706012478822,0.005185084951608158,-0.5551484858491729,-0.2681409848199182,-0.5851561290279602,0.02725161226513163,0.09023262273031431,-0.04334639585049615,-0.16489193986942616,0.8162577334058716,0.18225411008552314,0.10385142142771082,1.0,-0.3738130962515001,-0.16389072781755468,-0.0006162819560201049,-0.17701911947524268,-0.19098811405209448,0.12163470690035036,-0.8096738877910991,0.013265372511766781
电能生产,0.821346339104829,0.48903299107500203,0.7977022569106973,0.6338177575678386,0.6645810389564337,0.35486342334909926,0.9717403130026541,0.5426551208904856,0.6229869048781627,0.03447598029143565,0.7962776828630238,0.9492256860186767,0.06414287232500726,0.27471942755028017,0.6567785764204447,-0.3738130962515001,1.0,0.9688275176760034,0.6771099519310403,0.7601028876931324,0.8067742520460962,0.2651516978289636,0.1247822678126261,0.7176572833507286
AI算力平台,0.8005661085180261,0.5264483615208005,0.6540041909590599,0.6558779720058533,0.7011993565888348,0.21917143437537165,0.9729726644348103,0.406333426003049,0.6594215356172066,0.13372567035629346,0.8255131102486152,0.9869248074094276,0.23398532971714397,0.3410973366088068,0.7172981592923175,-0.16389072781755468,0.9688275176760033,0.9999999999999998,0.7165652081076971,0.7728288270064941,0.8066338896141718,0.34854369547261815,-0.06602382388261405,0.7524956262311687
数据中心数量,0.9486372045911858,0.9614347983518761,0.2995498739716232,0.7273970098825222,0.9939438618909111,-0.14106050222414804,0.5644000868933406,0.06287923115783291,0.9902373840950639,-0.05442651242927728,0.9721769765109427,0.6976910223506904,0.24018129180026984,0.806426980619134,0.9144650396515425,-0.0006162819560201049,0.6771099519310403,0.7165652081076971,1.0,0.21504071088274754,0.8973093649478813,0.7203399408606377,0.19471702459688256,0.9829460694690182
TOP500上榜数,0.31847310835400977,-0.04776959852691487,0.5862097544717917,0.25295597521713653,0.16866280866618397,0.19967761049071542,0.8570276699009525,0.4392765236508052,0.11319681277065845,0.07674823592015502,0.37414552271493884,0.7084760161131655,0.2515037377500881,-0.2898399996435674,0.42355830706681213,-0.17701911947524268,0.7601028876931323,0.7728288270064941,0.21504071088274754,1.0,0.47311367614943745,0.13987219159814493,-0.30964619188160275,0.24673614678553085
AI_Book数量,0.9136957330501906,0.7811901977258704,0.5192672277113383,0.5785775095728434,0.8662932226986012,-0.05307909738136068,0.7193256879646076,0.22291354391655235,0.8489057636284699,-0.1832327324437563,0.9035107448495476,0.7544546512718733,0.12308234928117373,0.5128097378569789,0.8676763810967802,-0.19098811405209448,0.8067742520460962,0.8066338896141717,0.8973093649478813,0.4731136761494375,0.9999999999999999,0.6683044061810204,0.2220829170607871,0.8642423628307754
AI_Dataset数量,0.5562658823952786,0.678277188303425,-0.02666351683283258,0.20606176564154838,0.6635292934500803,-0.5739355618717839,0.1995088682820374,-0.23625670215569428,0.6620803329832883,-0.02975446227706601,0.6166038778804195,0.2792428682296249,0.25323915694770716,0.4920564000252952,0.8120183989760185,0.12163470690035036,0.2651516978289636,0.34854369547261815,0.7203399408606377,0.13987219159814493,0.6683044061810204,0.9999999999999999,0.06039014999161593,0.6103516814294332
GitHub项目数,0.37065571500424843,0.2669413975467615,0.5345300161422013,-0.07212319312067161,0.21275795544068707,0.34264932680926585,-0.06841544244489181,0.3053850983286942,0.21780355237845048,-0.30494976540306046,0.13886010275307237,-0.0525490381852589,-0.819917946746008,0.2213878793763534,-0.009840201674995334,-0.809673887791099,0.1247822678126261,-0.06602382388261405,0.19471702459688256,-0.30964619188160275,0.2220829170607871,0.06039014999161593,1.0,0.15602107607126942
国际AI投资,0.949620479180726,0.9364527243120426,0.3292225450998967,0.7962022447791994,0.9858169198298975,-0.022064169559034227,0.6160385117097318,0.13081148551483723,0.9808800314546846,-0.06443091772558945,0.975987506136625,0.7409602888517897,0.2603609683454737,0.7911348278308001,0.8942574653066888,0.013265372511766781,0.7176572833507288,0.7524956262311687,0.9829460694690182,0.24673614678553082,0.8642423628307755,0.6103516814294331,0.15602107607126942,0.9999999999999998
